"Side","Layer","Slot","Name","Crate","Pwg","Pwgpos","TDR","lc80","lc90"
"P ",1,3,"L13AO071",0,1,1,0,9.3,10.4
"M ",8,-3,"L13AO026",0,1,2,1,3.9,4.8
"P ",2,7,"L12AJ021",0,4,5,2,3.9,4.4
"P ",4,7,"L12AJ018",0,4,6,3,4,4.7
"M ",8,-2,"L12AO105",0,1,3,4,4,4.4
"P ",3,3,"L09GI011",0,1,4,5,2.2,2.3
"P ",1,8,"L15AP109",0,4,3,6,6,7
"P ",3,7,"L12SH169",0,4,4,7,3.8,4.1
"P ",2,3,"L09GI006",0,1,5,8,2.8,4
"P ",4,3,"L09AI075",0,1,6,9,13.9,15.6
"P ",1,9,"L15AO174",0,4,1,10,4.4,4.7
"P ",1,7,"L15AO177",0,4,2,11,4.6,4.9
"P ",1,6,"L15AN113",0,2,1,12,4.5,5.2
"P ",1,4,"L14AO156",0,2,2,13,6,6.3
"P ",2,6,"L12AH057",0,3,5,14,3.1,3.5
"P ",4,6,"L12AH061",0,3,6,15,4.4,4.8
"P ",1,5,"L15AO163",0,2,3,16,4.7,5.2
"P ",3,4,"L10PI001",0,2,4,17,4.5,4.8
"P ",4,5,"L12AI015",0,3,3,18,2.3,2.5
"P ",3,6,"L12AJ033",0,3,4,19,5.7,6.3
"P ",2,4,"L10PI005",0,2,5,20,3.3,3.6
"P ",4,4,"L10AI079",0,2,6,21,3.7,4
"P ",3,5,"L12AI012",0,3,1,22,41.3,46.8
"P ",2,5,"L12AI001",0,3,2,23,3.1,3.4
"M ",2,-7,"L12AI004",1,1,1,0,2.4,2.6
"M ",3,-7,"L12AJ038",1,1,2,1,16.5,19.3
"P ",8,2,"L11AO155",1,4,5,2,8.1,9.9
"P ",8,4,"L14AO121",1,4,6,3,4.1,4.5
"M ",4,-7,"L12AI048",1,1,3,4,4.4,4.8
"M ",3,-6,"L12AJ055",1,1,4,5,3.4,3.9
"P ",8,3,"L13AO072",1,4,3,6,3.9,4.6
"M ",2,-2,"L14AI031",1,4,4,7,5.1,5.6
"M ",2,-6,"L12AH024",1,1,5,8,3.2,4.1
"M ",4,-6,"L12AH060",1,1,6,9,4.6,5.1
"M ",1,-3,"L13AO073",1,4,1,10,4,4.4
"M ",3,-2,"L14AI032",1,4,2,11,7,8
"M ",1,-6,"L15SO180",1,2,1,12,6.1,6.9
"M ",1,-4,"L14AO123",1,2,2,13,3.8,4.2
"M ",2,-3,"L09GI003",1,3,5,14,3,3.3
"M ",4,-3,"L09GI005",1,3,6,15,25,28.7
"M ",1,-5,"L14AO125",1,2,3,16,3.8,4.1
"M ",3,-5,"L11AI140",1,2,4,17,12.3,14.9
"M ",4,-4,"L11GI017",1,3,3,18,4.7,5.5
"M ",3,-3,"L09AI139",1,3,4,19,10.7,12.5
"M ",2,-5,"L11GI008",1,2,5,20,2.9,3.2
"M ",4,-5,"L11AI082",1,2,6,21,2.7,3
"M ",2,-4,"L11GI004",1,3,1,22,4.2,5.4
"M ",3,-4,"L11AI127",1,3,2,23,12.4,13.9
"M ",1,-13,"L13AO114",2,1,1,0,6,5.4
"P ",8,13,"L13AO111",2,1,2,1,5.7,6.1
"M ",2,-9,"L12AH029",2,4,5,2,7.4,8
"M ",4,-9,"L12AH059",2,4,6,3,3.8,4.1
"P ",8,14,"L11SO165",2,1,3,4,6.2,8.1
"M ",3,-13,"L09SI164",2,1,4,5,5.2,5.9
"M ",1,-8,"L15AO173",2,4,3,6,4,4.4
"M ",3,-9,"L12AJ054",2,4,4,7,16.3,19
"M ",2,-13,"L09GI010",2,1,5,8,3,3.8
"M ",4,-13,"L09AI076",2,1,6,9,3.7,4.8
"M ",1,-7,"L15AN101",2,4,1,10,4.1,4.6
"M ",1,-9,"L15AN100",2,4,2,11,4.5,5.5
"M ",1,-10,"L15AO093",2,2,1,12,6.1,7.1
"M ",1,-12,"L14AO160",2,2,2,13,4.1,4.4
"M ",2,-10,"L12AI005",2,3,5,14,2.7,3.1
"M ",4,-10,"L12AI064",2,3,6,15,4.5,5
"M ",1,-11,"L14AO159",2,2,3,16,3.8,4.2
"M ",3,-12,"L11AI126",2,2,4,17,8,8.6
"M ",4,-11,"L11AI083",2,3,3,18,1.7,1.9
"M ",3,-10,"L12SI182",2,3,4,19,4.4,5.4
"M ",2,-12,"L11GI016",2,2,5,20,7.4,8
"M ",4,-12,"L11AI081",2,2,6,21,3.2,3.4
"M ",2,-11,"L11GI009",2,3,1,22,14.4,15.4
"M ",3,-11,"L11SI176",2,3,2,23,3,3.4
"P ",2,9,"L12AI006",3,1,1,0,2.4,3.4
"P ",3,9,"L12SI167",3,1,2,1,7.7,9.2
"M ",8,-14,"L12AO106",3,4,5,2,3.1,3.4
"M ",8,-12,"L14AO124",3,4,6,3,5.1,6.2
"P ",4,9,"L12AI063",3,1,3,4,3,3.4
"P ",3,10,"L12AH058",3,1,4,5,5,5.5
"M ",8,-13,"L13AO074",3,4,3,6,8.7,10
"P ",2,14,"L14AI042",3,4,4,7,4.2,5.3
"P ",2,10,"L12AJ051",3,1,5,8,4.9,6.3
"P ",4,10,"L12AJ019",3,1,6,9,14.8,17
"P ",1,13,"L13AO025",3,4,1,10,4.8,5.4
"P ",3,14,"L14AI044",3,4,2,11,5.8,6.4
"P ",1,10,"L15AP099",3,2,1,12,11.5,12.6
"P ",1,12,"L14AO158",3,2,2,13,5,5.3
"P ",2,13,"L09GI013",3,3,5,14,6.1,6.9
"P ",4,13,"L09AI077",3,3,6,15,2.7,2.9
"P ",1,11,"L15AO115",3,2,3,16,5.3,5.7
"P ",3,11,"L12AI016",3,2,4,17,16.8,20.2
"P ",4,12,"L10GI015",3,3,3,18,3.6,4
"P ",3,13,"L09GI002",3,3,4,19,5.2,6
"P ",2,11,"L12AI003",3,2,5,20,3.8,4.1
"P ",4,11,"L12AI065",3,2,6,21,6.9,7.8
"P ",2,12,"L10GI014",3,3,1,22,7.4,8.6
"P ",3,12,"L10PI008",3,3,2,23,4.8,5.4
"P ",9,4,"L10AO147",4,1,1,0,3.8,4.5
"P ",9,5,"L10AO148",4,1,2,1,5.3,5.8
"P ",7,3,"L09AI091",4,4,5,2,4.3,4.7
"P ",5,3,"L09AI138",4,4,6,3,3.2,3.9
"P ",9,3,"L10AO146",4,1,3,4,5.1,4.2
"P ",6,7,"L12AJ023",4,1,4,5,11.3,13
"M ",8,-7,"L15AP098",4,4,3,6,4.5,4.8
"P ",6,3,"L09AI135",4,4,4,7,4.6,5.1
"P ",7,7,"L12AH045",4,1,5,8,3.2,3.6
"P ",5,7,"L12AH035",4,1,6,9,7.8,8.6
"M ",8,-5,"L14AO120",4,4,1,10,4.2,4.7
"M ",8,-6,"L15AO175",4,4,2,11,6.2,6.7
"P ",7,5,"L12AI133",4,2,1,12,8.9,13.6
"P ",6,5,"L12AH062",4,2,2,13,4,4.5
"P ",7,4,"L10PI011",4,3,5,14,5.3,7.5
"P ",5,4,"L10PI009",4,3,6,15,7.2,7.7
"P ",5,5,"L12AI132",4,2,3,16,3,3.5
"P ",6,6,"L12AH037",4,2,4,17,7,8.8
