Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.268648E+03   -1.066557E+03   -1.3052E+00
   4.200   3.069372E+03   -9.310571E+02   -1.2740E+00
   4.400   2.894588E+03   -8.202252E+02   -1.2468E+00
   4.600   2.740023E+03   -7.283014E+02   -1.2227E+00
   4.800   2.602279E+03   -6.511916E+02   -1.2011E+00
   5.000   2.478786E+03   -5.854936E+02   -1.1810E+00
   5.200   2.367456E+03   -5.291647E+02   -1.1623E+00
   5.400   2.266618E+03   -4.803896E+02   -1.1445E+00
   5.600   2.174864E+03   -4.381334E+02   -1.1281E+00
   5.800   2.091023E+03   -4.010646E+02   -1.1125E+00
   6.000   2.014143E+03   -3.684277E+02   -1.0975E+00
   6.500   1.847212E+03   -3.025124E+02   -1.0645E+00
   7.000   1.708955E+03   -2.528433E+02   -1.0357E+00
   7.500   1.592463E+03   -2.146473E+02   -1.0109E+00
   8.000   1.492945E+03   -1.846431E+02   -9.8942E-01
   8.500   1.406808E+03   -1.607248E+02   -9.7111E-01
   9.000   1.331474E+03   -1.412925E+02   -9.5506E-01
   9.500   1.264939E+03   -1.253268E+02   -9.4123E-01
  10.000   1.205704E+03   -1.120244E+02   -9.2912E-01
  10.500   1.152563E+03   -1.008373E+02   -9.1864E-01
  11.000   1.104588E+03   -9.132003E+01   -9.0941E-01
  11.500   1.061016E+03   -8.316352E+01   -9.0138E-01
  12.000   1.021242E+03   -7.610626E+01   -8.9428E-01
  12.500   9.847571E+02   -6.996490E+01   -8.8810E-01
  13.000   9.511513E+02   -6.457670E+01   -8.8261E-01
  13.500   9.200739E+02   -5.982705E+01   -8.7783E-01
  14.000   8.912353E+02   -5.561160E+01   -8.7358E-01
  14.500   8.643856E+02   -5.185551E+01   -8.6987E-01
  15.000   8.393148E+02   -4.848931E+01   -8.6659E-01
  15.500   8.158397E+02   -4.546213E+01   -8.6373E-01
  16.000   7.938041E+02   -4.272657E+01   -8.6120E-01
  16.500   7.730704E+02   -4.024715E+01   -8.5901E-01
  17.000   7.535199E+02   -3.799047E+01   -8.5709E-01
  17.500   7.350470E+02   -3.593103E+01   -8.5545E-01
  18.000   7.175600E+02   -3.404474E+01   -8.5401E-01
  18.500   7.009765E+02   -3.231318E+01   -8.5280E-01
  19.000   6.852239E+02   -3.071906E+01   -8.5178E-01
  19.500   6.702370E+02   -2.924733E+01   -8.5093E-01
  20.000   6.559586E+02   -2.788382E+01   -8.5017E-01
  21.000   6.293215E+02   -2.545309E+01   -8.4935E-01
  22.000   6.049455E+02   -2.333979E+01   -8.4880E-01
  23.000   5.825656E+02   -2.145883E+01   -8.4721E-01
  24.000   5.619373E+02   -1.984288E+01   -8.4748E-01
  25.000   5.428014E+02   -1.845439E+01   -8.4996E-01
  26.000   5.249879E+02   -1.719167E+01   -8.5142E-01
  27.000   5.083764E+02   -1.605265E+01   -8.5256E-01
  28.000   4.928425E+02   -1.503302E+01   -8.5408E-01
  29.000   4.782787E+02   -1.410953E+01   -8.5552E-01
  30.000   4.645953E+02   -1.327025E+01   -8.5689E-01
  31.000   4.517132E+02   -1.250588E+01   -8.5825E-01
  32.000   4.395618E+02   -1.180718E+01   -8.5956E-01
  33.000   4.280794E+02   -1.116689E+01   -8.6084E-01
  34.000   4.172108E+02   -1.057820E+01   -8.6206E-01
  35.000   4.069078E+02   -1.003511E+01   -8.6317E-01
  36.000   3.971265E+02   -9.534194E+00   -8.6429E-01
  37.000   3.878270E+02   -9.070621E+00   -8.6537E-01
  38.000   3.789743E+02   -8.640126E+00   -8.6635E-01
  39.000   3.705365E+02   -8.240412E+00   -8.6733E-01
  40.000   3.624842E+02   -7.868270E+00   -8.6826E-01
  42.000   3.474348E+02   -7.196644E+00   -8.6997E-01
  44.000   3.336419E+02   -6.608845E+00   -8.7156E-01
  46.000   3.209522E+02   -6.091527E+00   -8.7306E-01
  48.000   3.092366E+02   -5.633351E+00   -8.7441E-01
  50.000   2.983848E+02   -5.226258E+00   -8.7576E-01
  52.000   2.883028E+02   -4.862242E+00   -8.7698E-01
  54.000   2.789111E+02   -4.535414E+00   -8.7810E-01
  56.000   2.701390E+02   -4.241710E+00   -8.7931E-01
  58.000   2.619258E+02   -3.975789E+00   -8.8039E-01
  60.000   2.542192E+02   -3.734776E+00   -8.8147E-01
  65.000   2.368762E+02   -3.221814E+00   -8.8408E-01
  70.000   2.218334E+02   -2.809780E+00   -8.8663E-01
  75.000   2.086522E+02   -2.473663E+00   -8.8916E-01
  77.350   2.030024E+02   -2.336690E+00   -8.9035E-01
  80.000   1.969999E+02   -2.195779E+00   -8.9169E-01
  85.000   1.866189E+02   -1.963291E+00   -8.9423E-01
  90.000   1.773071E+02   -1.766786E+00   -8.9681E-01
  95.000   1.689034E+02   -1.598959E+00   -8.9934E-01
 100.000   1.612777E+02   -1.455045E+00   -9.0220E-01
 105.000   1.543212E+02   -1.330217E+00   -9.0508E-01
 110.000   1.479507E+02   -1.220292E+00   -9.0728E-01
 115.000   1.420961E+02   -1.123643E+00   -9.0938E-01
 120.000   1.366945E+02   -1.038879E+00   -9.1200E-01
 125.000   1.316914E+02   -9.637036E-01   -9.1474E-01
 130.000   1.270447E+02   -8.961728E-01   -9.1702E-01
 135.000   1.227185E+02   -8.353595E-01   -9.1896E-01
 140.000   1.186813E+02   -7.804558E-01   -9.2065E-01
 145.000   1.149053E+02   -7.307030E-01   -9.2208E-01
 150.000   1.113668E+02   -6.854381E-01   -9.2322E-01
 155.000   1.080443E+02   -6.441515E-01   -9.2410E-01
 160.000   1.049194E+02   -6.063912E-01   -9.2473E-01
 165.000   1.019752E+02   -5.717712E-01   -9.2515E-01
 170.000   9.919701E+01   -5.399472E-01   -9.2534E-01
 175.000   9.657154E+01   -5.106306E-01   -9.2533E-01
 180.000   9.408696E+01   -4.835607E-01   -9.2511E-01
 185.000   9.173255E+01   -4.585157E-01   -9.2470E-01
 190.000   8.949876E+01   -4.352945E-01   -9.2410E-01
 195.000   8.737685E+01   -4.137260E-01   -9.2332E-01
 200.000   8.535901E+01   -3.936531E-01   -9.2235E-01
 205.000   8.343805E+01   -3.749416E-01   -9.2120E-01
 210.000   8.160753E+01   -3.574686E-01   -9.1987E-01
 215.000   7.986148E+01   -3.411280E-01   -9.1837E-01
 220.000   7.819452E+01   -3.258220E-01   -9.1670E-01
 225.000   7.660168E+01   -3.114663E-01   -9.1486E-01
 230.000   7.507841E+01   -2.979825E-01   -9.1286E-01
 235.000   7.362051E+01   -2.853027E-01   -9.1070E-01
 240.000   7.222415E+01   -2.733637E-01   -9.0838E-01
 245.000   7.088573E+01   -2.621104E-01   -9.0592E-01
 250.000   6.960198E+01   -2.514912E-01   -9.0332E-01
 255.000   6.836984E+01   -2.414609E-01   -9.0058E-01
 260.000   6.718647E+01   -2.319771E-01   -8.9771E-01
 265.000   6.604922E+01   -2.230025E-01   -8.9472E-01
 270.000   6.495565E+01   -2.145019E-01   -8.9162E-01
 273.150   6.428809E+01   -2.093761E-01   -8.8961E-01
 275.000   6.390346E+01   -2.064441E-01   -8.8840E-01
 280.000   6.289052E+01   -1.987997E-01   -8.8509E-01
 285.000   6.191482E+01   -1.915425E-01   -8.8169E-01
 290.000   6.097449E+01   -1.846476E-01   -8.7820E-01
 295.000   6.006778E+01   -1.780930E-01   -8.7464E-01
 300.000   5.919303E+01   -1.718574E-01   -8.7100E-01
 305.000   5.834870E+01   -1.659219E-01   -8.6731E-01
 310.000   5.753334E+01   -1.602683E-01   -8.6355E-01
 315.000   5.674558E+01   -1.548809E-01   -8.5976E-01
 320.000   5.598412E+01   -1.497435E-01   -8.5592E-01
 325.000   5.524775E+01   -1.448421E-01   -8.5205E-01
