Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.188730E+03   -1.020859E+03   -1.2806E+00
   4.200   2.997959E+03   -8.915737E+02   -1.2491E+00
   4.400   2.830519E+03   -7.861153E+02   -1.2220E+00
   4.600   2.682307E+03   -6.987665E+02   -1.1983E+00
   4.800   2.550071E+03   -6.255342E+02   -1.1774E+00
   5.000   2.431375E+03   -5.630961E+02   -1.1580E+00
   5.200   2.324241E+03   -5.095130E+02   -1.1399E+00
   5.400   2.227095E+03   -4.630600E+02   -1.1228E+00
   5.600   2.138605E+03   -4.227716E+02   -1.1070E+00
   5.800   2.057663E+03   -3.873857E+02   -1.0919E+00
   6.000   1.983371E+03   -3.561906E+02   -1.0775E+00
   6.500   1.821821E+03   -2.930632E+02   -1.0456E+00
   7.000   1.687765E+03   -2.453744E+02   -1.0177E+00
   7.500   1.574630E+03   -2.086218E+02   -9.9367E-01
   8.000   1.477841E+03   -1.797018E+02   -9.7278E-01
   8.500   1.393960E+03   -1.566102E+02   -9.5497E-01
   9.000   1.320514E+03   -1.378261E+02   -9.3936E-01
   9.500   1.255579E+03   -1.223761E+02   -9.2593E-01
  10.000   1.197711E+03   -1.094896E+02   -9.1416E-01
  10.500   1.145750E+03   -9.864296E+01   -9.0399E-01
  11.000   1.098800E+03   -8.940737E+01   -8.9505E-01
  11.500   1.056124E+03   -8.148612E+01   -8.8729E-01
  12.000   1.017137E+03   -7.462782E+01   -8.8045E-01
  12.500   9.813480E+02   -6.865503E+01   -8.7450E-01
  13.000   9.483600E+02   -6.341159E+01   -8.6924E-01
  13.500   9.178332E+02   -5.878671E+01   -8.6467E-01
  14.000   8.894871E+02   -5.467953E+01   -8.6062E-01
  14.500   8.630793E+02   -5.101786E+01   -8.5712E-01
  15.000   8.384062E+02   -4.773445E+01   -8.5402E-01
  15.500   8.152899E+02   -4.478017E+01   -8.5134E-01
  16.000   7.935788E+02   -4.210912E+01   -8.4900E-01
  16.500   7.731392E+02   -3.968694E+01   -8.4698E-01
  17.000   7.538558E+02   -3.748128E+01   -8.4523E-01
  17.500   7.356260E+02   -3.546746E+01   -8.4374E-01
  18.000   7.183603E+02   -3.362217E+01   -8.4247E-01
  18.500   7.019787E+02   -3.192740E+01   -8.4142E-01
  19.000   6.864106E+02   -3.036624E+01   -8.4054E-01
  19.500   6.715925E+02   -2.892458E+01   -8.3984E-01
  20.000   6.574683E+02   -2.758923E+01   -8.3926E-01
  21.000   6.311021E+02   -2.520287E+01   -8.3863E-01
  22.000   6.069576E+02   -2.312958E+01   -8.3836E-01
  23.000   5.847614E+02   -2.130205E+01   -8.3786E-01
  24.000   5.642741E+02   -1.971074E+01   -8.3835E-01
  25.000   5.452712E+02   -1.832180E+01   -8.4003E-01
  26.000   5.275840E+02   -1.707454E+01   -8.4145E-01
  27.000   5.110798E+02   -1.595407E+01   -8.4284E-01
  28.000   4.956376E+02   -1.494774E+01   -8.4444E-01
  29.000   4.811528E+02   -1.403671E+01   -8.4602E-01
  30.000   4.675363E+02   -1.320911E+01   -8.4758E-01
  31.000   4.547101E+02   -1.245491E+01   -8.4912E-01
  32.000   4.426051E+02   -1.176515E+01   -8.5061E-01
  33.000   4.311607E+02   -1.113279E+01   -8.5208E-01
  34.000   4.203226E+02   -1.055109E+01   -8.5348E-01
  35.000   4.100436E+02   -1.001414E+01   -8.5477E-01
  36.000   4.002805E+02   -9.518581E+00   -8.5607E-01
  37.000   3.909942E+02   -9.059708E+00   -8.5733E-01
  38.000   3.821503E+02   -8.633329E+00   -8.5848E-01
  39.000   3.737175E+02   -8.237205E+00   -8.5961E-01
  40.000   3.656669E+02   -7.868199E+00   -8.6070E-01
  42.000   3.506122E+02   -7.201696E+00   -8.6269E-01
  44.000   3.368051E+02   -6.617779E+00   -8.6454E-01
  46.000   3.240945E+02   -6.103386E+00   -8.6628E-01
  48.000   3.123528E+02   -5.647404E+00   -8.6785E-01
  50.000   3.014713E+02   -5.241937E+00   -8.6939E-01
  52.000   2.913567E+02   -4.879109E+00   -8.7080E-01
  54.000   2.819303E+02   -4.553132E+00   -8.7209E-01
  56.000   2.731222E+02   -4.260010E+00   -8.7346E-01
  58.000   2.648720E+02   -3.994478E+00   -8.7469E-01
  60.000   2.571277E+02   -3.753694E+00   -8.7591E-01
  65.000   2.396897E+02   -3.240816E+00   -8.7886E-01
  70.000   2.245525E+02   -2.828458E+00   -8.8172E-01
  75.000   2.112793E+02   -2.491807E+00   -8.8454E-01
  77.350   2.055871E+02   -2.354543E+00   -8.8587E-01
  80.000   1.995378E+02   -2.213289E+00   -8.8737E-01
  85.000   1.890709E+02   -1.980127E+00   -8.9020E-01
  90.000   1.796766E+02   -1.782951E+00   -8.9308E-01
  95.000   1.711937E+02   -1.614443E+00   -8.9590E-01
 100.000   1.634922E+02   -1.469965E+00   -8.9910E-01
 105.000   1.564622E+02   -1.344638E+00   -9.0237E-01
 110.000   1.500211E+02   -1.234124E+00   -9.0490E-01
 115.000   1.440990E+02   -1.136838E+00   -9.0727E-01
 120.000   1.386330E+02   -1.051426E+00   -9.1011E-01
 125.000   1.335687E+02   -9.756323E-01   -9.1304E-01
 130.000   1.288638E+02   -9.075434E-01   -9.1555E-01
 135.000   1.244820E+02   -8.462198E-01   -9.1772E-01
 140.000   1.203917E+02   -7.908428E-01   -9.1965E-01
 145.000   1.165649E+02   -7.406507E-01   -9.2133E-01
 150.000   1.129777E+02   -6.949755E-01   -9.2272E-01
 155.000   1.096085E+02   -6.533029E-01   -9.2385E-01
 160.000   1.064387E+02   -6.151772E-01   -9.2474E-01
 165.000   1.034515E+02   -5.802107E-01   -9.2541E-01
 170.000   1.006319E+02   -5.480566E-01   -9.2585E-01
 175.000   9.796672E+01   -5.184248E-01   -9.2607E-01
 180.000   9.544393E+01   -4.910536E-01   -9.2609E-01
 185.000   9.305279E+01   -4.657208E-01   -9.2591E-01
 190.000   9.078366E+01   -4.422241E-01   -9.2553E-01
 195.000   8.862777E+01   -4.203920E-01   -9.2495E-01
 200.000   8.657723E+01   -4.000671E-01   -9.2419E-01
 205.000   8.462482E+01   -3.811148E-01   -9.2323E-01
 210.000   8.276400E+01   -3.634115E-01   -9.2210E-01
 215.000   8.098879E+01   -3.468512E-01   -9.2078E-01
 220.000   7.929375E+01   -3.313353E-01   -9.1929E-01
 225.000   7.767384E+01   -3.167793E-01   -9.1762E-01
 230.000   7.612449E+01   -3.031043E-01   -9.1579E-01
 235.000   7.464144E+01   -2.902423E-01   -9.1379E-01
 240.000   7.322082E+01   -2.781294E-01   -9.1164E-01
 245.000   7.185899E+01   -2.667103E-01   -9.0934E-01
 250.000   7.055264E+01   -2.559329E-01   -9.0689E-01
 255.000   6.929867E+01   -2.457519E-01   -9.0430E-01
 260.000   6.809420E+01   -2.361243E-01   -9.0158E-01
 265.000   6.693657E+01   -2.270124E-01   -8.9874E-01
 270.000   6.582328E+01   -2.183808E-01   -8.9577E-01
 273.150   6.514362E+01   -2.131756E-01   -8.9385E-01
 275.000   6.475201E+01   -2.101980E-01   -8.9271E-01
 280.000   6.372060E+01   -2.024343E-01   -8.8953E-01
 285.000   6.272701E+01   -1.950630E-01   -8.8627E-01
 290.000   6.176936E+01   -1.880592E-01   -8.8292E-01
 295.000   6.084585E+01   -1.814004E-01   -8.7949E-01
 300.000   5.995482E+01   -1.750651E-01   -8.7599E-01
 305.000   5.909469E+01   -1.690343E-01   -8.7242E-01
 310.000   5.826400E+01   -1.632893E-01   -8.6880E-01
 315.000   5.746135E+01   -1.578143E-01   -8.6513E-01
 320.000   5.668543E+01   -1.525930E-01   -8.6142E-01
 325.000   5.593502E+01   -1.476110E-01   -8.5767E-01
