Temp.     Resistance      Sensitivity     Dimensionless
(Kelvin)  (Ohms)          (Ohms/Kelvin)   Sensitivity

   4.000   3.304112E+03   -1.067558E+03   -1.2924E+00
   4.200   3.104656E+03   -9.319419E+02   -1.2607E+00
   4.400   2.929677E+03   -8.213132E+02   -1.2335E+00
   4.600   2.774865E+03   -7.296904E+02   -1.2096E+00
   4.800   2.636812E+03   -6.528859E+02   -1.1885E+00
   5.000   2.512956E+03   -5.874250E+02   -1.1688E+00
   5.200   2.401220E+03   -5.312714E+02   -1.1505E+00
   5.400   2.299948E+03   -4.826108E+02   -1.1331E+00
   5.600   2.207743E+03   -4.404236E+02   -1.1171E+00
   5.800   2.123440E+03   -4.033867E+02   -1.1018E+00
   6.000   2.046095E+03   -3.707512E+02   -1.0872E+00
   6.500   1.878018E+03   -3.047556E+02   -1.0548E+00
   7.000   1.738673E+03   -2.549482E+02   -1.0264E+00
   7.500   1.621167E+03   -2.166003E+02   -1.0021E+00
   8.000   1.520710E+03   -1.864475E+02   -9.8084E-01
   8.500   1.433706E+03   -1.623902E+02   -9.6276E-01
   9.000   1.357571E+03   -1.428335E+02   -9.4691E-01
   9.500   1.290294E+03   -1.267572E+02   -9.3327E-01
  10.000   1.230368E+03   -1.133562E+02   -9.2132E-01
  10.500   1.176584E+03   -1.020818E+02   -9.1099E-01
  11.000   1.128007E+03   -9.248658E+01   -9.0190E-01
  11.500   1.083869E+03   -8.426048E+01   -8.9402E-01
  12.000   1.043562E+03   -7.714105E+01   -8.8705E-01
  12.500   1.006574E+03   -7.094320E+01   -8.8100E-01
  13.000   9.724923E+02   -6.550405E+01   -8.7564E-01
  13.500   9.409629E+02   -6.070820E+01   -8.7098E-01
  14.000   9.116945E+02   -5.645052E+01   -8.6686E-01
  14.500   8.844351E+02   -5.265577E+01   -8.6327E-01
  15.000   8.589733E+02   -4.925401E+01   -8.6011E-01
  15.500   8.351241E+02   -4.619408E+01   -8.5737E-01
  16.000   8.127302E+02   -4.342819E+01   -8.5496E-01
  16.500   7.916528E+02   -4.092066E+01   -8.5289E-01
  17.000   7.717721E+02   -3.863784E+01   -8.5108E-01
  17.500   7.529817E+02   -3.655400E+01   -8.4955E-01
  18.000   7.351890E+02   -3.464491E+01   -8.4823E-01
  18.500   7.183108E+02   -3.289201E+01   -8.4713E-01
  19.000   7.022739E+02   -3.127785E+01   -8.4622E-01
  19.500   6.870123E+02   -2.978725E+01   -8.4547E-01
  20.000   6.724684E+02   -2.840608E+01   -8.4483E-01
  21.000   6.453258E+02   -2.594244E+01   -8.4421E-01
  22.000   6.204754E+02   -2.380003E+01   -8.4387E-01
  23.000   5.976476E+02   -2.189483E+01   -8.4261E-01
  24.000   5.765960E+02   -2.025295E+01   -8.4300E-01
  25.000   5.570638E+02   -1.883760E+01   -8.4540E-01
  26.000   5.388779E+02   -1.755433E+01   -8.4697E-01
  27.000   5.219127E+02   -1.639742E+01   -8.4828E-01
  28.000   5.060429E+02   -1.536031E+01   -8.4991E-01
  29.000   4.911599E+02   -1.442080E+01   -8.5146E-01
  30.000   4.771727E+02   -1.356683E+01   -8.5295E-01
  31.000   4.640009E+02   -1.278880E+01   -8.5442E-01
  32.000   4.515730E+02   -1.207739E+01   -8.5585E-01
  33.000   4.398264E+02   -1.142530E+01   -8.5724E-01
  34.000   4.287050E+02   -1.082562E+01   -8.5856E-01
  35.000   4.181597E+02   -1.027224E+01   -8.5979E-01
  36.000   4.081462E+02   -9.761722E+00   -8.6102E-01
  37.000   3.986236E+02   -9.289154E+00   -8.6221E-01
  38.000   3.895567E+02   -8.850206E+00   -8.6331E-01
  39.000   3.809128E+02   -8.442552E+00   -8.6440E-01
  40.000   3.726622E+02   -8.062936E+00   -8.6544E-01
  42.000   3.572374E+02   -7.377600E+00   -8.6738E-01
  44.000   3.430951E+02   -6.777549E+00   -8.6918E-01
  46.000   3.300792E+02   -6.249229E+00   -8.7090E-01
  48.000   3.180582E+02   -5.781116E+00   -8.7246E-01
  50.000   3.069201E+02   -5.365040E+00   -8.7401E-01
  52.000   2.965689E+02   -4.992834E+00   -8.7544E-01
  54.000   2.869235E+02   -4.658530E+00   -8.7675E-01
  56.000   2.779121E+02   -4.358000E+00   -8.7815E-01
  58.000   2.694727E+02   -4.085809E+00   -8.7941E-01
  60.000   2.615519E+02   -3.839027E+00   -8.8067E-01
  65.000   2.437202E+02   -3.313484E+00   -8.8370E-01
  70.000   2.282458E+02   -2.891030E+00   -8.8664E-01
  75.000   2.146808E+02   -2.546180E+00   -8.8952E-01
  77.350   2.088649E+02   -2.405580E+00   -8.9087E-01
  80.000   2.026849E+02   -2.260895E+00   -8.9238E-01
  85.000   1.919946E+02   -2.022089E+00   -8.9522E-01
  90.000   1.824027E+02   -1.820117E+00   -8.9807E-01
  95.000   1.737443E+02   -1.647635E+00   -9.0089E-01
 100.000   1.658861E+02   -1.499338E+00   -9.0384E-01
 105.000   1.587184E+02   -1.370582E+00   -9.0671E-01
 110.000   1.521536E+02   -1.257834E+00   -9.0936E-01
 115.000   1.461173E+02   -1.158804E+00   -9.1202E-01
 120.000   1.405460E+02   -1.071528E+00   -9.1488E-01
 125.000   1.353858E+02   -9.939643E-01   -9.1771E-01
 130.000   1.305931E+02   -9.243834E-01   -9.2019E-01
 135.000   1.261304E+02   -8.617618E-01   -9.2236E-01
 140.000   1.219654E+02   -8.052095E-01   -9.2427E-01
 145.000   1.180695E+02   -7.539591E-01   -9.2593E-01
 150.000   1.144181E+02   -7.073388E-01   -9.2731E-01
 155.000   1.109892E+02   -6.648161E-01   -9.2844E-01
 160.000   1.077639E+02   -6.259195E-01   -9.2932E-01
 165.000   1.047247E+02   -5.902523E-01   -9.2998E-01
 170.000   1.018565E+02   -5.574593E-01   -9.3041E-01
 175.000   9.914578E+01   -5.272434E-01   -9.3063E-01
 180.000   9.658026E+01   -4.993362E-01   -9.3063E-01
 185.000   9.414895E+01   -4.735104E-01   -9.3043E-01
 190.000   9.184203E+01   -4.495594E-01   -9.3003E-01
 195.000   8.965053E+01   -4.273075E-01   -9.2944E-01
 200.000   8.756639E+01   -4.065942E-01   -9.2865E-01
 205.000   8.558225E+01   -3.872822E-01   -9.2768E-01
 210.000   8.369145E+01   -3.692450E-01   -9.2652E-01
 215.000   8.188786E+01   -3.523744E-01   -9.2517E-01
 220.000   8.016592E+01   -3.365701E-01   -9.2365E-01
 225.000   7.852052E+01   -3.217456E-01   -9.2196E-01
 230.000   7.694697E+01   -3.078204E-01   -9.2010E-01
 235.000   7.544093E+01   -2.947252E-01   -9.1807E-01
 240.000   7.399844E+01   -2.823947E-01   -9.1589E-01
 245.000   7.261581E+01   -2.707725E-01   -9.1356E-01
 250.000   7.128963E+01   -2.598053E-01   -9.1109E-01
 255.000   7.001674E+01   -2.494467E-01   -9.0848E-01
 260.000   6.879422E+01   -2.396531E-01   -9.0574E-01
 265.000   6.761933E+01   -2.303858E-01   -9.0288E-01
 270.000   6.648954E+01   -2.216087E-01   -8.9991E-01
 273.150   6.579986E+01   -2.163165E-01   -8.9798E-01
 275.000   6.540248E+01   -2.132894E-01   -8.9683E-01
 280.000   6.435594E+01   -2.053977E-01   -8.9364E-01
 285.000   6.334784E+01   -1.979063E-01   -8.9037E-01
 290.000   6.237625E+01   -1.907896E-01   -8.8702E-01
 295.000   6.143936E+01   -1.840246E-01   -8.8359E-01
 300.000   6.053545E+01   -1.775896E-01   -8.8009E-01
 305.000   5.966294E+01   -1.714647E-01   -8.7654E-01
 310.000   5.882032E+01   -1.656312E-01   -8.7292E-01
 315.000   5.800617E+01   -1.600726E-01   -8.6927E-01
 320.000   5.721916E+01   -1.547725E-01   -8.6557E-01
 325.000   5.645804E+01   -1.497160E-01   -8.6184E-01
