"Side" "Layer" "Slot" "Name" "Xtant" "Pwg" "Pwgpos" "TDR" "lc80" "lc90"
"M" 1 1 "L10AO151" 2 3 1 11 5.8 7.6
"M" 1 2 "L12SO181" 2 3 2 2 15 17.7
"M" 1 3 "L13AO073" 2 3 0 10 4 4.4
"M" 1 4 "L14AO123" 2 1 1 13 3.8 4.2
"M" 1 5 "L14AO125" 2 1 2 16 3.8 4.1
"M" 1 6 "L15SO180" 2 1 0 12 6.1 6.9
"M" 1 7 "L15AN101" 4 3 0 10 4.1 4.6
"M" 1 8 "L15AO173" 4 3 2 6 4 4.4
"M" 1 9 "L15AN100" 4 3 1 11 4.5 5.5
"M" 1 10 "L15AO093" 4 1 0 12 6.1 7.1
"M" 1 11 "L14AO159" 4 1 2 16 3.8 4.2
"M" 1 12 "L14AO160" 4 1 1 13 4.1 4.4
"M" 1 13 "L13AO114" 4 0 0 0 6 5.4
"M" 1 14 "L12AO107" 4 0 2 4 8.1 8.7
"M" 1 15 "L10AO145" 4 0 1 1 2.8 3.2
"M" 2 1 "L07PI002" 2 3 4 6 2.2 3
"M" 2 2 "L14AI031" 2 3 5 3 5.1 5.6
"M" 2 3 "L09GI003" 2 2 4 14 3 3.3
"M" 2 4 "L11GI004" 2 2 0 22 4.2 5.4
"M" 2 5 "L11GI008" 2 1 4 20 2.9 3.2
"M" 2 6 "L12AH024" 2 0 4 8 3.2 4.1
"M" 2 7 "L12AI004" 2 0 0 0 2.4 2.6
"M" 2 9 "L12AH029" 4 3 4 2 7.4 8
"M" 2 10 "L12AI005" 4 2 4 14 2.7 3.1
"M" 2 11 "L11GI009" 4 2 0 22 14.4 15.4
"M" 2 12 "L11GI016" 4 1 4 20 7.4 8
"M" 2 13 "L09GI010" 4 0 4 8 3 3.8
"M" 3 2 "L14AI032" 2 3 3 7 7 8
"M" 3 3 "L09AI139" 2 2 3 19 10.7 12.5
"M" 3 4 "L11AI127" 2 2 1 23 12.4 13.9
"M" 3 5 "L11AI140" 2 1 3 17 12.3 14.9
"M" 3 6 "L12AJ055" 2 0 3 5 3.4 3.9
"M" 3 7 "L12AJ038" 2 0 1 1 16.5 19.3
"M" 3 9 "L12AJ054" 4 3 3 7 16.3 19
"M" 3 10 "L12SI182" 4 2 3 19 4.4 5.4
"M" 3 11 "L11SI176" 4 2 1 23 3 3.4
"M" 3 12 "L11AI126" 4 1 3 17 8 8.6
"M" 3 13 "L09SI164" 4 0 3 5 5.2 5.9
"M" 4 3 "L09GI005" 2 2 5 15 25 28.7
"M" 4 4 "L11GI017" 2 2 2 18 4.7 5.5
"M" 4 5 "L11AI082" 2 1 5 21 2.7 3
"M" 4 6 "L12AH060" 2 0 5 9 4.6 5.1
"M" 4 7 "L12AI048" 2 0 2 4 4.4 4.8
"M" 4 9 "L12AH059" 4 3 5 3 3.8 4.1
"M" 4 10 "L12AI064" 4 2 5 15 4.5 5
"M" 4 11 "L11AI083" 4 2 2 18 1.7 1.9
"M" 4 12 "L11AI081" 4 1 5 21 3.2 3.4
"M" 4 13 "L09AI076" 4 0 5 9 3.7 4.8
"M" 5 3 "L09AI090" 6 1 5 21 2.9 3.6
"M" 5 4 "L11AI087" 6 1 2 16 4.4 5.3
"M" 5 5 "L11AI085" 6 2 5 15 3.8 4.2
"M" 5 6 "L12AJ034" 6 3 5 3 5.6 6.1
"M" 5 7 "L12AI049" 6 3 2 6 4.5 5.1
"M" 5 9 "L12AJ053" 8 0 5 9 5.1 6.2
"M" 5 10 "L12AI017" 8 1 5 21 11.1 13.2
"M" 5 11 "L11AI086" 8 1 2 16 3.3 3.6
"M" 5 12 "L11AI143" 8 2 5 15 10.5 10.6
"M" 5 13 "L09AI092" 8 3 5 3 2.3 2.5
"M" 6 2 "L14AI041" 6 0 3 5 7.2 8
"M" 6 3 "L09AI089" 6 1 3 17 3.6 4.1
"M" 6 4 "L11AI084" 6 1 1 13 3.4 4
"M" 6 5 "L11GI001" 6 2 3 19 3.8 4.4
"M" 6 6 "L12AH030" 6 3 3 7 5.5 7.6
"M" 6 7 "L12AI067" 6 3 1 11 7.9 10.4
"M" 6 9 "L12AH028" 8 0 3 5 4 4.5
"M" 6 10 "L12SI170" 8 1 3 17 6.8 8
"M" 6 11 "L11AI141" 8 1 1 13 6.2 6.6
"M" 6 12 "L11AI104" 8 2 3 19 5.1 5.7
"M" 6 13 "L09GI012" 8 3 3 7 5.1 5.8
"M" 7 1 "L07PI003" 6 0 4 4 65.8 80.3
"M" 7 2 "L14AI040" 6 0 5 9 4 4.4
"M" 7 3 "L09AI103" 6 1 4 20 2.6 2.8
"M" 7 4 "L11AI128" 6 1 0 12 6.7 7.8
"M" 7 5 "L11AI088" 6 2 4 14 6.6 7.2
"M" 7 6 "L12AJ020" 6 3 4 2 4.9 6.6
"M" 7 7 "L12AI007" 6 3 0 10 6.2 7.3
"M" 7 9 "L12AJ056" 8 0 4 8 4.4 4.8
"M" 7 10 "L12AI130" 8 1 4 20 6.6 7.5
"M" 7 11 "L11AI134" 8 1 0 12 5.3 6.4
"M" 7 12 "L11AI142" 8 2 4 14 3.8 4
"M" 7 13 "L09PI010" 8 3 4 2 6.5 8.5
"M" 8 1 "L10AO144" 6 0 1 1 4.1 5
"M" 8 2 "L12AO105" 6 0 2 8 4 4.4
"M" 8 3 "L13AO026" 6 0 0 0 3.9 4.8
"M" 8 4 "L14AO119" 6 2 1 23 4.8 5.3
"M" 8 5 "L14AO120" 6 2 2 18 4.2 4.7
"M" 8 6 "L15AO175" 6 2 0 22 6.2 6.7
"M" 8 7 "L15AP098" 8 0 0 0 4.5 4.8
"M" 8 8 "L15AO097" 8 0 2 4 4.5 4.9
"M" 8 9 "L15AP110" 8 0 1 1 4.6 5
"M" 8 10 "L15AO095" 8 2 0 22 4.5 5
"M" 8 11 "L14AO122" 8 2 2 18 4.8 5.3
"M" 8 12 "L14AO124" 8 2 1 23 5.1 6.2
"M" 8 13 "L13AO074" 8 3 0 10 8.7 10
"M" 8 14 "L12AO106" 8 3 2 6 3.1 3.4
"M" 8 15 "L10AO148" 8 3 1 11 5.3 5.8
"P" 1 1 "L10AO150" 3 3 1 11 7.5 8
"P" 1 2 "L11AO153" 3 3 2 2 2.8 2.9
"P" 1 3 "L13AO025" 3 3 0 10 4.8 5.4
"P" 1 4 "L14AO158" 3 1 1 13 5 5.3
"P" 1 5 "L15AO115" 3 1 2 16 5.3 5.7
"P" 1 6 "L15AP099" 3 1 0 12 11.5 12.6
"P" 1 7 "L15AO174" 1 3 0 10 4.4 4.7
"P" 1 8 "L15AP109" 1 3 2 6 6 7
"P" 1 9 "L15AO177" 1 3 1 11 4.6 4.9
"P" 1 10 "L15AN113" 1 1 0 12 4.5 5.2
"P" 1 11 "L15AO163" 1 1 2 16 4.7 5.2
"P" 1 12 "L14AO156" 1 1 1 13 6 6.3
