#JINF	 TDR	 VA	par1	par2
0	 0	 0	 1	 1
0	 0	 1	 1	 1
0	 0	 2	 1	 1
0	 0	 3	 1	 1
0	 0	 4	 1	 1
0	 0	 5	 1	 1
0	 0	 6	 1	 1
0	 0	 7	 1	 1
0	 0	 8	 1	 1
0	 0	 9	 1	 1
0	 0	 10	 1	 1
0	 0	 11	 1	 1
0	 0	 12	 1	 1
0	 0	 13	 1	 1
0	 0	 14	 1	 1
0	 0	 15	 1	 1
0	 4	 0	 1	 1
0	 4	 1	 1	 1
0	 4	 2	 1	 1
0	 4	 3	 1	 1
0	 4	 4	 1	 1
0	 4	 5	 1	 1
0	 4	 6	 1	 1
0	 4	 7	 1	 1
0	 4	 8	 1	 1
0	 4	 9	 1	 1
0	 4	 10	 1	 1
0	 4	 11	 1	 1
0	 4	 12	 1	 1
0	 4	 13	 1	 1
0	 4	 14	 1	 1
0	 4	 15	 1	 1
0	 8	 0	 1	 1
0	 8	 1	 1	 1
0	 8	 2	 1	 1
0	 8	 3	 1	 1
0	 8	 4	 1	 1
0	 8	 5	 1	 1
0	 8	 6	 1	 1
0	 8	 7	 1	 1
0	 8	 8	 1	 1
0	 8	 9	 1	 1
0	 8	 10	 1	 1
0	 8	 11	 1	 1
0	 8	 12	 1	 1
0	 8	 13	 1	 1
0	 8	 14	 1	 1
0	 8	 15	 1	 1
0	 12	 0	 1	 1
0	 12	 1	 1	 1
0	 12	 2	 1	 1
0	 12	 3	 1	 1
0	 12	 4	 1	 1
0	 12	 5	 1	 1
0	 12	 6	 1	 1
0	 12	 7	 1	 1
0	 12	 8	 1	 1
0	 12	 9	 1	 1
0	 12	 10	 1	 1
0	 12	 11	 1	 1
0	 12	 12	 1	 1
0	 12	 13	 1	 1
0	 12	 14	 1	 1
0	 12	 15	 1	 1
0	 14	 0	 1	 1
0	 14	 1	 1	 1
0	 14	 2	 1	 1
0	 14	 3	 1	 1
0	 14	 4	 1	 1
0	 14	 5	 1	 1
0	 14	 6	 1	 1
0	 14	 7	 1	 1
0	 14	 8	 1	 1
0	 14	 9	 1	 1
0	 14	 10	 1	 1
0	 14	 11	 1	 1
0	 14	 12	 1	 1
0	 14	 13	 1	 1
0	 14	 14	 1	 1
0	 14	 15	 1	 1

