#JINF 	 TDR 	 S (mm) 	 K (mm) 	 Z (mm)		MultiplicyFlip
 0	0 	 225.0 		 225.0 		 -299.925 		0
 0	1	 225.0		 225.0		 -269.925		0
 0	2	 225.0		 225.0		 -239.925		0
 0	3	 225.0		 225.0		 -209.925		0
 0	4	 225.0		 225.0		 -179.925		0
 0	5	 225.0		 225.0		 -149.925		0
 0	6	 225.0		 225.0		 -119.925		0
 0	7	 225.0		 225.0		 -89.925		0
 0	8	 225.0		 225.0		 -59.925		0
 0	9	 225.0		 225.0		 -29.925		0
 0	10	 225.0		 225.0		 0.074999		0
 0	11	 225.0		 225.0		 30.075			0
 0	12	 225.0		 225.0		 60.075			0
 0	13	 225.0		 225.0		 90.075			0
 0	14	 225.0		 225.0		 120.075		0
 0	15	 225.0		 225.0		 150.075		0
 0	16	 225.0		 225.0		 180.075		0
 0	17	 225.0		 225.0		 210.075		0
 0	18	 225.0		 225.0		 240.075		0
 0	19	 225.0		 225.0		 270.075		0
 0	20	 225.0		 225.0		 349.925		0
 0	21	 225.0		 225.0		 449.925		0
 0	22	 225.0		 225.0		 650.075		0
 0	23	 225.0		 225.0		 750.075		0
