#JINF	 TDR	 VA	par0	par1
0	 0	 0	 0	 1
0	 0	 1	 0	 1
0	 0	 2	 0	 1
0	 0	 3	 0	 1
0	 0	 4	 0	 1
0	 0	 5	 0	 1
0	 0	 6	 0	 1
0	 0	 7	 0	 1
0	 0	 8	 0	 1
0	 0	 9	 0	 1
0	 0	 10	 0	 1
0	 0	 11	 0	 1
0	 0	 12	 0	 1
0	 0	 13	 0	 1
0	 0	 14	 0	 1
0	 0	 15	 0	 1
0	 4	 0	 0	 1
0	 4	 1	 0	 1
0	 4	 2	 0	 1
0	 4	 3	 0	 1
0	 4	 4	 0	 1
0	 4	 5	 0	 1
0	 4	 6	 0	 1
0	 4	 7	 0	 1
0	 4	 8	 0	 1
0	 4	 9	 0	 1
0	 4	 10	 0	 1
0	 4	 11	 0	 1
0	 4	 12	 0	 1
0	 4	 13	 0	 1
0	 4	 14	 0	 1
0	 4	 15	 0	 1
0	 8	 0	 0	 1
0	 8	 1	 0	 1
0	 8	 2	 0	 1
0	 8	 3	 0	 1
0	 8	 4	 0	 1
0	 8	 5	 0	 1
0	 8	 6	 0	 1
0	 8	 7	 0	 1
0	 8	 8	 0	 1
0	 8	 9	 0	 1
0	 8	 10	 0	 1
0	 8	 11	 0	 1
0	 8	 12	 0	 1
0	 8	 13	 0	 1
0	 8	 14	 0	 1
0	 8	 15	 0	 1
0	 12	 0	 0	 1
0	 12	 1	 0	 1
0	 12	 2	 0	 1
0	 12	 3	 0	 1
0	 12	 4	 0	 1
0	 12	 5	 0	 1
0	 12	 6	 0	 1
0	 12	 7	 0	 1
0	 12	 8	 0	 1
0	 12	 9	 0	 1
0	 12	 10	 0	 1
0	 12	 11	 0	 1
0	 12	 12	 0	 1
0	 12	 13	 0	 1
0	 12	 14	 0	 1
0	 12	 15	 0	 1
0	 14	 0	 0	 1
0	 14	 1	 0	 1
0	 14	 2	 0	 1
0	 14	 3	 0	 1
0	 14	 4	 0	 1
0	 14	 5	 0	 1
0	 14	 6	 0	 1
0	 14	 7	 0	 1
0	 14	 8	 0	 1
0	 14	 9	 0	 1
0	 14	 10	 0	 1
0	 14	 11	 0	 1
0	 14	 12	 0	 1
0	 14	 13	 0	 1
0	 14	 14	 0	 1
0	 14	 15	 0	 1

